id	summary	text	category
0	Great buy	Product was used but still worked amazing. Used as a station alerting system in on did the busiest 911 systems in Colorado!	0
1	Very versatile and very fast transfer speed	Having the many ports and one dedicated to power makes it easy to charge a tablet and a phone while knocking out some of the cable clutter on the desk.The USB 3.0 ports are very fast for data transfer.  Huge improvement over a Belkin USB 2 hub it replaced.	0
2	works fine	The cable arrived on time and in great condition. It was ready to use and works just fine. I use it to play and charge my MP3 player.	0
3	Great for it's size and style	Being a sling, I was hesitant.  However, it is very nicely configured.  I LOVE the orange inside, which makes finding things very easy.  In the large main compartment I have the camera with lens, and extra lens, battery charger, and one or two other things; plenty of room.  In the top I keep an extra battery, lens cover/filter, SD cards and cases; and there is still plenty of room for keys, a wallet, and sunglasses.Extra things to note:  There is a strap on the side for a tripod...I keep a Pedco UltraPod II Lightweight Camera Tripod there.  There is also another thin stabilizing strap that hides under the bottom compartment of the bag.  I never thought I'd use it, but we went hiking recently and it really came in handy...it keeps the bag from moving around so much, which in turn keeps it more comfortable and helps a bit with weight distribution.  Overall it fits and feels fine, and is easy to get into without taking off.  At times it feels a little bulky, but I attribute it to all the nice thick protective padding.	0
4	Nexus 7 - a great return for what I paid.	"I bought it as a gift for my son.He is the perfect usage validation ""engineer"" :-)He is treating it roughly, physically and ""mentally"" (loading lots of stuff all the time).For months, the device is going some rough times, and so far so good!!!Also we are getting android updates on time.You can say I am very pleased with this buy."	0
5	Works great as all Cowboy Studio products do	Not sure what else to say about this product.  It works great, does what it says it will, and as always from the Cowboy Studio folks, it is just what I needed.	0
6	OK replacement for the original Canon battery	"I ordered another battery but was disappointed by the second one. It does not last as long as the first one. This means that there is poor and inconsistent quality control for these items. You can try your luck if you want!------ original review ------I have had this battery for nearly 3 months now. I purchased it after reading other reviews.Its a great value for money when compared to the OEM battery. It gives 2+ hours of back up with my Vixia HF200. I have run the battery until it is completely exhausted - even though the LED indicator said 25% remaining. When the battery is completely drained the camera simply shuts down with the usual message about not disconnecting the power source. There is no loss of data when the battery finally quits.Secondly, as I learnt from a fellow reviewer, the battery can be charged by using the camera-charger. No separate charger is required to be purchased.The only nuisance is the initial message about ""do you still want to use this battery"" because you might miss the action because of the delay. I keep the camera in stand-by (close the screen) in between shots to avoid the lag because of the message."	1
7	Very good basic mouse for the price	"This is a great basic, cordless mouse.  I plugged in the unobtrusive receiver and Windows 7 immediately recognized the device.  Although I played with some of the Logitech SetPoint options, the default Microsoft settings work perfectly for me.  Smooth, accurate action on any reasonably ""mouse-able"" surface - just don't expect it to work on glass.  This is a ""medium-to-large"" sized mouse.  The tallish profile results in less fatigue for me and the padded sides offer better control.  Forward/reverse buttons work well although, like other reviewers, I'd prefer that the scroll wheel had a smoother action.  I haven't had it long enough to have an opinion on battery life, but so far, so good.  For the price, a very good mouse."	0
8	Very Good Sound, Easy Setup, Great Design 6mos later not so good...	Very intelligently designed unit. Setup was very easy. I did not experience any interference with wireless router or access points (three are nearby). I especially liked the 3 available inputs (optical, miniplug and RCA) and the ability to select among them. This has allowed me to have a Roku Soundbridge and a Samsung TV plugged into the unit. Bass is very good without being overwhelming. Sound is clear and bright, better than the TV, but still not audiophile territory. Its a convenient, intelligently designed functional solution to the mediocre sound quality of a flat screen TV. The product reeks of high quality in its exterior design and ease of setup. The programmable IR remote of the unit was very easy to set up and use too.Update 6 mos later. The unit has become flaky in the extreme. It still works sorta. The remote control has died; tried new battery but no luck. Programmed unit to work with Samsung TV. It turns on but cannot control volume. It seems to lose its way every day. Need to unplug to reset the unit. I may toss this for another brand. Definitely unsatisfied.	1
9	Great Product!!	Great Product!!  It came as described and replaced a bad part and it works.  I would recommend it to others looking for a good replacement.	0
10	Sturdy and feels great to the touch!	I bought this product for two reasons: Kept my original keyboard sanitary, and aesthetic color to match my company colors. For $0.99 plus shipping I wasn't expecting much, but I was surprised. The synthetic material used has a rubber-like tactile feeling which  allows it to sit firmly in place on the keyboard and it aids in my typing ability. The color is 'dark' and in low light conditions seem to illuminate the keys making typing at night a more enjoyable experience.All in all, I recommend this product to anyone who likes to keep their electronic equipment pristine.	0
11	external memory for my SANDISK 4G MP3 Player	this was the perfect addition to my SANDISK 4gb MP3 player. I have 20GB of total space for under $60 - you can't beat it. Easy to place into the device. Came in record time. I would order from Kingston Digital again!	0
12	Good replacement for Time Warner	When Time Warner decided to start charging for cable modems, I bought this one to replace the rental. I currently have their 30/5 wideband service, and the Ubee modem/router they gave me for that was problematic. The router side of the Ubee kept having problems, with unreliable wireless connections and reporting as a strict NAT for my Xbox360, so I had already bought my own router and turned that part off. I was also regularly having to reboot the modem due for connection issues. I wasn't going to pay money for that service, so I bought this Surfboard based on its other reviews and returned the Ubee.I had some fits getting it recognized by Time Warner, but most of that was on their end. Took several calls and Tier 3 support to everything set up correctly. Since then the modem has been working just fine, giving me slightly better download speeds than the Ubee (Steam would hit peaks of 3.7 MB/s with this Surfboard vs 3.4 MB/s with the Ubee). Mostly it's been far more reliable, I've only had to reset the modem and my router once since I've had it. Very happy overall with the upgrade, mostly I now need to see if it holds out for the 2 years or so it will take to pay for itself.	0
13	"if you're torn between this and a ""matte"" screen, chose this."	went with a matte screen protector originally, dreadful regret. horrible rainbow effect across videos and games, and so much worse on web pages. tore it off and got this to replace it, and have been using it for several months since, without a single complaint. skip the matte hype, go for clear and what works. you didnt buy a tab with an HD screen just to have it polluted with a horrible screen protector. do right the first time.	0
14	Great Picture - Perfect size for mid size room	This TV screen size is perfect for a medium sized living area where a 32 would be too small and a 50 would be too large.  The picture is great with many choices for adjustment.  The sound is okay, better than the 32 we have but still lacks any bass notes.  This is somewhat disappointing when music playing in what you are watching is important.  I suggest external speakers - they don't need to be expensive ones if a full range of highs and lows are important to you. I give it a 4 because of the lack of low range sounds when music is playing.  The picture is great though.	1
